type,exchange_segment,security_id,LTP,LTQ,LTT,avg_price,volume,total_sell_quantity,total_buy_quantity,open,close,high,low
Quote Data,0,25,46551.95,0,14:59:04,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46549.85,0,14:59:05,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46552.80,0,14:59:06,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46555.20,0,14:59:07,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46555.95,0,14:59:08,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46556.00,0,14:59:09,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46556.65,0,14:59:10,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46555.85,0,14:59:11,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46559.50,0,14:59:12,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46560.75,0,14:59:13,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46562.00,0,14:59:14,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46562.10,0,14:59:15,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46564.15,0,14:59:16,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46562.60,0,14:59:17,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46564.35,0,14:59:18,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46563.05,0,14:59:19,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46550.25,0,14:59:20,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46554.10,0,14:59:21,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46557.25,0,14:59:22,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46553.00,0,14:59:23,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46559.45,0,14:59:24,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46558.90,0,14:59:25,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46561.90,0,14:59:26,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46556.50,0,14:59:27,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46558.45,0,14:59:28,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46557.40,0,14:59:29,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46556.40,0,14:59:30,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46555.35,0,14:59:31,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46557.40,0,14:59:32,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46555.45,0,14:59:33,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46554.45,0,14:59:34,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46555.20,0,14:59:35,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46551.65,0,14:59:36,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46555.10,0,14:59:37,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46558.40,0,14:59:38,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46559.20,0,14:59:39,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46558.20,0,14:59:40,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46559.50,0,14:59:41,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46561.85,0,14:59:42,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46561.10,0,14:59:43,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46562.50,0,14:59:44,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46561.75,0,14:59:45,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46560.55,0,14:59:46,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46556.00,0,14:59:47,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46562.30,0,14:59:48,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46562.90,0,14:59:49,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46558.45,0,14:59:50,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46560.70,0,14:59:51,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46559.00,0,14:59:52,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46558.80,0,14:59:53,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46558.55,0,14:59:54,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46559.05,0,14:59:55,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46554.10,0,14:59:56,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46559.15,0,14:59:57,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46557.10,0,14:59:58,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46557.55,0,14:59:59,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46562.70,0,15:00:00,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46562.25,0,15:00:01,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46565.35,0,15:00:02,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46565.10,0,15:00:03,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46566.85,0,15:00:04,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46566.65,0,15:00:05,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46558.85,0,15:00:06,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46564.90,0,15:00:07,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46562.20,0,15:00:08,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46563.10,0,15:00:09,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46562.25,0,15:00:10,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46562.40,0,15:00:11,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46563.35,0,15:00:12,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46560.05,0,15:00:13,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46558.65,0,15:00:14,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46553.55,0,15:00:15,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46553.55,0,15:00:15,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46555.35,0,15:00:16,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46556.15,0,15:00:17,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46558.70,0,15:00:18,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46557.75,0,15:00:19,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46558.70,0,15:00:20,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46559.60,0,15:00:21,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46562.25,0,15:00:22,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46560.50,0,15:00:23,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46558.35,0,15:00:24,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46559.50,0,15:00:25,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46556.05,0,15:00:26,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46553.05,0,15:00:27,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46552.65,0,15:00:28,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46555.10,0,15:00:29,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46553.90,0,15:00:30,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46550.25,0,15:00:31,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46553.45,0,15:00:32,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46548.75,0,15:00:33,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46549.40,0,15:00:34,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46549.70,0,15:00:35,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46549.10,0,15:00:36,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46548.05,0,15:00:37,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46549.90,0,15:00:38,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46551.85,0,15:00:39,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46550.10,0,15:00:40,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46552.55,0,15:00:41,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46556.20,0,15:00:42,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46556.20,0,15:00:42,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46553.35,0,15:00:43,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
