open,high,low,close,volume,start_Time,date
70.63,70.7,69.69,69.69,127344.0,1392783120.0,2024-02-19 09:42:00
69.67,69.67,69.0,69.11,80320.0,1392783180.0,2024-02-19 09:43:00
69.2,69.75,69.11,69.67,38357.0,1392783240.0,2024-02-19 09:44:00
69.88,69.88,69.5,69.5,75378.0,1392783300.0,2024-02-19 09:45:00
69.5,69.54,69.25,69.25,52783.0,1392783360.0,2024-02-19 09:46:00
69.31,69.31,69.0,69.3,66533.0,1392783420.0,2024-02-19 09:47:00
69.3,69.3,69.01,69.11,14246.0,1392783480.0,2024-02-19 09:48:00
69.11,69.45,69.11,69.3,14594.0,1392783540.0,2024-02-19 09:49:00
69.42,69.42,69.15,69.28,69906.0,1392783600.0,2024-02-19 09:50:00
69.28,69.34,69.16,69.24,7367.0,1392783660.0,2024-02-19 09:51:00
69.24,69.24,69.17,69.22,13629.0,1392783720.0,2024-02-19 09:52:00
69.22,69.25,69.0,69.0,45792.0,1392783780.0,2024-02-19 09:53:00
69.0,69.18,68.3,68.5,59651.0,1392783840.0,2024-02-19 09:54:00
68.6,68.6,68.4,68.45,35701.0,1392783900.0,2024-02-19 09:55:00
68.45,69.0,68.3,68.82,65572.0,1392783960.0,2024-02-19 09:56:00
69.0,69.0,68.82,68.89,6976.0,1392784020.0,2024-02-19 09:57:00
68.89,68.95,68.26,68.95,28949.0,1392784080.0,2024-02-19 09:58:00
68.95,68.96,68.65,68.76,16335.0,1392784140.0,2024-02-19 09:59:00
68.84,68.89,68.66,68.89,4108.0,1392784200.0,2024-02-19 10:00:00
68.76,68.76,68.51,68.51,36644.0,1392784260.0,2024-02-19 10:01:00
68.4,68.75,68.4,68.75,56263.0,1392784320.0,2024-02-19 10:02:00
68.75,68.86,68.7,68.71,6070.0,1392784380.0,2024-02-19 10:03:00
68.75,68.9,68.71,68.81,11937.0,1392784440.0,2024-02-19 10:04:00
68.81,68.9,68.81,68.9,2647.0,1392784500.0,2024-02-19 10:05:00
68.88,69.01,68.88,69.01,20231.0,1392784560.0,2024-02-19 10:06:00
69.01,69.19,69.01,69.17,9026.0,1392784620.0,2024-02-19 10:07:00
69.16,69.16,69.0,69.13,4488.0,1392784680.0,2024-02-19 10:08:00
69.13,69.13,69.05,69.1,3723.0,1392784740.0,2024-02-19 10:09:00
69.05,69.12,69.05,69.1,2548.0,1392784800.0,2024-02-19 10:10:00
69.1,69.15,69.05,69.06,3250.0,1392784860.0,2024-02-19 10:11:00
69.07,69.5,69.07,69.15,52906.0,1392784920.0,2024-02-19 10:12:00
69.36,69.36,69.12,69.2,51862.0,1392784980.0,2024-02-19 10:13:00
69.36,69.38,69.21,69.31,45692.0,1392785040.0,2024-02-19 10:14:00
69.38,69.47,69.34,69.47,8338.0,1392785100.0,2024-02-19 10:15:00
69.45,69.47,69.41,69.47,5183.0,1392785160.0,2024-02-19 10:16:00
69.4,69.46,69.4,69.44,3056.0,1392785220.0,2024-02-19 10:17:00
69.4,69.47,69.26,69.26,11677.0,1392785280.0,2024-02-19 10:18:00
69.47,69.5,69.4,69.41,27778.0,1392785340.0,2024-02-19 10:19:00
69.49,69.5,69.41,69.47,7604.0,1392785400.0,2024-02-19 10:20:00
69.48,69.65,69.48,69.55,12926.0,1392785460.0,2024-02-19 10:21:00
69.65,69.67,69.56,69.67,4198.0,1392785520.0,2024-02-19 10:22:00
69.67,69.83,69.65,69.75,11800.0,1392785580.0,2024-02-19 10:23:00
69.75,69.85,69.73,69.73,16781.0,1392785640.0,2024-02-19 10:24:00
69.79,69.79,69.7,69.7,10118.0,1392785700.0,2024-02-19 10:25:00
69.76,69.87,69.7,69.82,11239.0,1392785760.0,2024-02-19 10:26:00
69.79,69.97,69.79,69.89,8987.0,1392785820.0,2024-02-19 10:27:00
69.81,69.95,69.81,69.95,10272.0,1392785880.0,2024-02-19 10:28:00
69.89,70.2,69.85,70.2,61831.0,1392785940.0,2024-02-19 10:29:00
70.06,70.6,70.06,70.6,47508.0,1392786000.0,2024-02-19 10:30:00
70.59,70.7,70.56,70.6,32697.0,1392786060.0,2024-02-19 10:31:00
70.6,70.7,70.6,70.6,21201.0,1392786120.0,2024-02-19 10:32:00
70.64,70.64,70.0,70.0,34476.0,1392786180.0,2024-02-19 10:33:00
70.0,70.0,69.65,69.98,33860.0,1392786240.0,2024-02-19 10:34:00
69.82,70.1,69.82,70.1,42571.0,1392786300.0,2024-02-19 10:35:00
70.26,70.5,70.15,70.36,22886.0,1392786360.0,2024-02-19 10:36:00
70.43,70.43,70.28,70.28,6283.0,1392786420.0,2024-02-19 10:37:00
70.28,70.5,70.28,70.34,10141.0,1392786480.0,2024-02-19 10:38:00
70.47,70.49,70.28,70.35,6391.0,1392786540.0,2024-02-19 10:39:00
70.35,70.4,70.31,70.32,10360.0,1392786600.0,2024-02-19 10:40:00
70.4,70.4,70.32,70.32,2979.0,1392786660.0,2024-02-19 10:41:00
70.32,70.37,70.1,70.1,23419.0,1392786720.0,2024-02-19 10:42:00
70.06,70.24,70.06,70.11,2852.0,1392786780.0,2024-02-19 10:43:00
70.11,70.2,70.11,70.2,895.0,1392786840.0,2024-02-19 10:44:00
70.2,70.23,70.1,70.1,7416.0,1392786900.0,2024-02-19 10:45:00
70.1,70.25,70.1,70.13,4220.0,1392786960.0,2024-02-19 10:46:00
70.15,70.25,70.13,70.2,10280.0,1392787020.0,2024-02-19 10:47:00
70.24,70.29,70.1,70.1,8978.0,1392787080.0,2024-02-19 10:48:00
70.12,70.2,70.06,70.13,12650.0,1392787140.0,2024-02-19 10:49:00
70.2,70.2,70.14,70.19,5568.0,1392787200.0,2024-02-19 10:50:00
70.19,70.24,70.15,70.22,2703.0,1392787260.0,2024-02-19 10:51:00
70.22,70.22,70.13,70.13,3536.0,1392787320.0,2024-02-19 10:52:00
70.2,70.38,70.2,70.31,26988.0,1392787380.0,2024-02-19 10:53:00
70.31,70.32,70.3,70.31,5530.0,1392787440.0,2024-02-19 10:54:00
70.31,70.43,70.31,70.42,10001.0,1392787500.0,2024-02-19 10:55:00
70.42,70.5,70.4,70.45,8562.0,1392787560.0,2024-02-19 10:56:00
70.5,70.5,70.45,70.48,12623.0,1392787620.0,2024-02-19 10:57:00
70.45,70.7,70.45,70.7,41628.0,1392787680.0,2024-02-19 10:58:00
70.75,70.92,70.7,70.9,19041.0,1392787740.0,2024-02-19 10:59:00
70.9,71.0,70.84,70.84,51972.0,1392787800.0,2024-02-19 11:00:00
70.84,71.0,70.76,70.86,70057.0,1392787860.0,2024-02-19 11:01:00
70.85,70.9,70.8,70.85,14125.0,1392787920.0,2024-02-19 11:02:00
70.9,70.99,70.85,70.85,15869.0,1392787980.0,2024-02-19 11:03:00
70.85,71.0,70.85,71.0,21398.0,1392788040.0,2024-02-19 11:04:00
70.91,71.0,70.91,70.99,22264.0,1392788100.0,2024-02-19 11:05:00
70.92,71.0,70.9,70.99,15155.0,1392788160.0,2024-02-19 11:06:00
70.98,71.0,70.91,70.98,2870.0,1392788220.0,2024-02-19 11:07:00
71.0,71.0,70.92,70.99,13681.0,1392788280.0,2024-02-19 11:08:00
70.92,71.0,70.92,70.99,3665.0,1392788340.0,2024-02-19 11:09:00
70.99,70.99,70.85,70.85,3186.0,1392788400.0,2024-02-19 11:10:00
70.89,70.92,70.86,70.9,8493.0,1392788460.0,2024-02-19 11:11:00
70.9,70.95,70.85,70.9,20057.0,1392788520.0,2024-02-19 11:12:00
